Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
&Delta;<small><sup>24</sup></small>-sterol reductase	dhcR24	MCA1404			4-demethyllanosterol C-24 reductase // 4&alpha;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol C-24 reductase
hexokinase	Hxk2	Hxk2			ATP:D-hexose 6-phosphotransferase // ATP:D-fructose 6-phosphotransferase // ATP:D-mannose 6-phosphotransferase // ATP:D-glucose 6-phosphotransferase
shikimate kinase 1	aroK	b3390	3518543	3519064	shikimate kinase
atrochrysone-2-carbonyl-[acyl-carrier protein] synthase GedC	gedC	ATEG_08451			atrochrysone-2-carbonyl-[acyl-carrier protein] synthase
aurichin B epoxide hydrolase	auaI	auaI			aurichin B epoxide hydrolase
thymidine phosphorylase	TYMP	TYMP	47468201	47472475	2'-deoxyuridine phosphorylase // thymidine phosphorylase
UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	murB	b3972	4172057	4173085	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase
glycerol-2-phosphate cytidylyltransfrase	gtp2	gtp2			glycerol-2-phosphate cytidylyltransfrase
&alpha;1,2-colitosyltransferase	wbgN	G2583_2558			&alpha;1,2-colitosyltransferase
selenocysteine <i>Se</i>-methyltransferase	SMT	SMT			homocysteine S-methyltransferase // <i>S</i>-methyl-L-methionine dependent selenocysteine Se-methyltransferase
2-hydroxyethylphosphonate methylase	fom3	fom3			2-hydroxyethylphosphonate methylase
plant 4&alpha;-monomethylsterol monooxygenase 2-1	SMO2-1	AT2G29390	12617620	12619971	24-methylidenelophenol 4&alpha;-methyl monooxygenase // 24-ethylidenelophenol 4&alpha;-methyl monooxygenase
cellulase D	celD	Cthe_0825			cellulase
methylxanthine <i>N</i>1-demethylase	ndmA // ndmD				1-methylxanthine demethylase // theophylline <i>N</i>1-demethylase // paraxanthine <i>N</i>1-demethylase // caffeine <i>N</i>1-demethylase
lyso-phosphatidylcholine acyltransferase	TAZ1	YPR140W	814391	815536	phospholipid: lyso-phosphatidylcholine acyltransferase // lyso-phosphatidylcholine acyltransferase // TAfaZzin
phosphoenolpyruvate guanylyltransferase	cofC	cofC			phosphoenolpyruvate guanylyltransferase
serine hydroxymethyltransferase					serine hydroxymethyltransferase
ALLASA1	ALLASA1	ALLASA1			methliin lyase // alliin lyase
glutathione peroxidase 2	GPX2	GPX2			glutathione peroxidase
nicotinate-nucleotide--methylbenzimidazole phosphoribosyltransferase	cobT	Vpar_1602			nicotinate-nucleotide--methylbenzimidazole phosphoribosyltransferase
GDP-mannose:&alpha;-L-Rha-(1&rarr;3)-&alpha;-D-Gal-PP-Und &alpha;-mannosyltransferase	wbaU	STM2086	2166235	2167302	GDP-mannose:&alpha;-L-Rha-(1&rarr;3)-&alpha;-D-Gal-PP-Und &alpha;-mannosyltransferase
4-hydroxyproline 2-epimerase	lhpA	lhpA			4-hydroxyproline 2-epimerase
(<i>S</i>)-sulfopropanediol 2-dehydrogenase	hpsO	Reut_C6091			(<i>S</i>)-sulfopropanediol 2-dehydrogenase
2-methylcitrate lyase	prpB	prpB			2-methylcitrate lyase
casbene synthase	cs	cs			casbene synthase
type II phosphatidylinositol 4,5-bisphosphate 4-phosphatase	TMEM55A	TMEM55A	91852683	91899232	phosphatidylinositol 4,5-bisphosphate 4-phosphatase
lycopene elongase/hydratase (flavuxanthin-forming)	crtEb	crtEb			nonaflavuxanthin elongase/hydratase // lycopene elongase/hydratase
catalase 2	CAT2	CAT2			catalase
dihydroxyacetone kinase subunit	DAK	DAK			dihydroxyacetone kinase
&beta;-cyclopiazonate oxidocyclase	CpaO	CpaO			&beta;-cyclopiazonate oxidocyclase
pyruvate formate lyase activating enzyme	PFL-AE	PFL-AE			pyruvate formate lyase activating enzyme
acetylornithine deacetylase	argE	b3957	4153696	4154847	acetylornithine deacetylase
acetoacetyl-CoA reductase	phbB	phbB			3-oxopropanoyl-CoA reductase // acetoacetyl-CoA reductase
2-deoxy-scyllo-inosose synthase	neoC	neoC			2-deoxy-<i>scyllo</i>-inosose synthase
5-formyltetrahydrofolate cycloligase	FCL	FCL	4136659	4138795	5-formyltetrahydrofolate cycloligase
dihydrobenzophenanthridine oxidase					dihydrochelirubine:oxygen oxidoreductase // dihydromacarpine:oxygen oxidoreductase // dihydrosanguinarine:oxygen oxidoreductase
maltose phosphorylase					maltose phosphorylase
4-amino-4-deoxychorismate lyase	pabC-2	pabC-2			4-amino-4-deoxychorismate lyase
2-aminomuconate deaminase subunit					2-aminomuconate deaminase
3-hydroxyanthranilate 3,4-dioxygenase subunit					3-hydroxyanthranilate 3,4-dioxygenase
NAD(P)+-dependent succinate semialdehyde dehydrogenase	gabD1	gabD1			NAD(P)+-dependent 3-sulfopropanal dehydrogenase // NAD(P)+-dependent succinate semialdehyde dehydrogenase
flavonoid O-methyltransferase	OMT2	OMT2			flavonoid O-methyltransferase // flavonoid O-methyltransferase // flavonoid O-methyltransferase
thymidine phosphorylase	deoA	b4382	4618229	4619551	thymidine phosphorylase // uracil phosphorylase
dehydroshikimate dehydratase	quiC	quiC	1718132	1719592	dehydroshikimate dehydratase
3-keto-L-gulonate-6-phosphate decarboxylase SgbH	sgbH	b3581	3748577	3749239	3-keto-L-gulonate-6-phosphate decarboxylase
octaheme dissimilatory sulfite reductase SirA	sirA	SO_0479			dissimilatory sulfite reductase
arabinoxylan arabinosyltransferase					arabinoxylan arabinosyltransferase
L-dopachrome tautomerase	Dct	Dct			L-dopachrome tautomerase
allantoinase	allB	b0512	539147	540508	allantoinase
questin hydroquinone dioxygenase	gedK	ATEG_08459			questin dioxygenase
acetyl-CoA carboxylase 1	ACACA	ACACA	37396876	37639965	acetyl-CoA carboxylase
mupirocin P dehydratase	mupP	mupP			deoxymupirocin P dehydratase // mupirocin P dehydratase
flagellar rod assembly protein/&beta;-<i>N</i>-acetylglucosaminidase	flgJ	STM1182	1264443	1265393	&beta;-<i>N</i>-acetylglucosaminidase
indolin-2-one monooxygenase	Bx3	Bx3			indolin-2-one monooxygenase
<i>trans</i>-4-hydroxy-L-proline dehydratase	t4LhypD	CD630_32820	3842259	3844628	<i>trans</i>-4-hydroxy-L-proline dehydratase
undecaprenyl phosphate-<i>N</i>-acetyl-&alpha;-D-glucosamine transferase	gtcA	lmo2549			undecaprenyl phosphate-<i>N</i>-acetyl-&alpha;-D-glucosamine transferase
3&beta;-hydroxysteroid dehydrogenase	RUMGNA_00694	RUMGNA_00694			3-oxo-chenodeoxycholate 3-dehydrogenase // 3-oxo-ocholate 3-dehydrogenase // 3-oxo-lithocholate 3-dehydrogenase // 3-oxo-deoxycholate 3-dehydrogenase
piperine synthase	MW354956	MW354956			piperine synthase
coenzyme A diphosphatase	cmmR	cmmR			coenzyme A diphosphatase
<small>L</small>-threonylcarbamoyladenylate synthase	SUA5	YGL169W	186059	187339	<small>L</small>-threonylcarbamoyladenylate synthase
phosphatidylinositide phosphatase SAC1	SACM1L	SACM1L			phosphatidylinositol 4-phosphate 4-phosphatase // phosphatidylinositol 3,5-bisphosphate 5-phosphatase // phosphatidylinositol 3-phosphate 3-phosphatase
protein disulfide isomerase	P4HB	P4HB	52519184	52529128	dehydroascorbate reductase // protein disulfide isomerase
&beta;-1,3-<i>N</i>-acetylgalactosaminyltransferase 1	B3GALNT1	B3GALNT1	161749105	161770594	globotriaosylceramide 3-&beta;-<em>N</em>-acetylgalactosaminyltransferase
carotenoid 3,4-desaturase	crtD	crtD			rhodovibrin 3',4'-desaturase // 1-hydroxylycopene 3,4-desaturase
phosphonoacetaldehyde reductase	fomC	fomC			phosphonoacetaldehyde reductase
UDP-<em>N</em>-acetylmuramoyl-<small>L</small>-alanine&mdash;<small>L</small>-glutamate ligase	MurD2	XOO1320			UDP-<em>N</em>-acetylmuramoyl-<small>L</small>-alanine&mdash;<small>L</small>-glutamate ligase
methylphosphonate synthase	mpnS	Nmar_0155			methylphosphonate synthase
&gamma;-glutamylcyclotransferase	gliK	AFUA_6G09700			&gamma;-glutamylcyclotransferase
hydroxyhopane synthase	ACH	ACH			hopan-22-ol synthase // hop-22(29)-ene synthase
chorismate dehydratase	mqnA2	Cj1285c			chorismate dehydratase
D-galactose-2,6-sulfurylase I					D-galactose-2,6-sulfohydrolase
flavin-containing monooxygenase 1	FMO1	FMO1	166846709	166884162	hypotaurine monooxygenase
L-carnitine dehydrogenase	cdhA	PP0302			L-carnitine dehydrogenase
formate dehydrogenase 3	fdnH-3 // fdnG-3 // fdnI-3				formate dehydrogenase (cytochrome-<em>c</em>-553) // formate dehydrogenase (cytochrome-<em>c</em>-553)
3-dehydro-D-guloside 4-epimerase	ycjR	b1314	1376034	1376822	3-dehydro-D-guloside 4-epimerase
purine nucleoside phosphoramidase	hinT	b1103	1161885	1162244	purine nucleoside phosphoramidase
<i>N</i>-acetyl demethylphosphinothricinyl-transferase	phpL	phpL			<i>N</i>-acetyl demethylphosphinothricinyl-transferase
thiaminase II	tenA	BSU11650	1242449	1243159	aminomethylpyrimidine amidohydrolase // thiamin amidohydrolase
cadaverine hydroxylase	desB	SCO2783	3037106	3038347	cadaverine hydroxylase
&alpha;(1,3)-fucosyltransferase FutB	futB	HP0651	696662	698092	&alpha;-(1,3)-fucosyltransferase // &alpha;-(1,3)-fucosyltransferase // &alpha;-(1,3)-fucosyltransferase // &alpha;-(1,3)-fucosyltransferase
maleylacetate reductase	tftE	tftE			maleylacetate reductase
SCPL desacyl avenacin acyltransferase	SAD7				SCPL anthraniloyl-<i>O</i>-glucose desacyl-avenacin A acyltransferase // SCPL benzoyl-&beta;-<i>D</i>-glucose desacyl avenacin A acyltransferase // SCPL N-methylanthraniloyl-&beta;-<i>D</i>-glucose desacyl-avenacin A acyltransferase
UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase	GXYLT1	GXYLT1			UDP-D-xylose:&beta;-D-glucoside &alpha;-1,3-D-xylosyltransferase
cytidine diphosphoramidate kinase	Cj1415	Cj1415			cytidine diphosphoramidate kinase
isochorismate synthase EntC	entC	b0593	624885	626060	isochorismate synthase
ADP-dependent phosphofructokinase subunit	pfkA	pfkA			ADP-dependent phosphofructokinase
esculetin 6-O-glucosyltransferase					esculetin 6-<i>O</i>-glucosyltransferase
D-mannitol 2-dehydrogenase	lxr1	lxr1			D-mannitol 2-dehydrogenase
tryptophan synthase complex	trpB // trpA				tryptophan synthase
lipopolysaccharide <em>N</em>-acetylglucosaminyltransferase	waaK	STM3714	3909573	3910718	lipopolysaccharide <em>N</em>-acetylglucosaminyltransferase
geranylgeranyl-bacteriochlorophyll <i>b</i> reductase	bchP	BV133_774			geranylgeranyl-bacteriochlorophyll <i>b</i> reductase
heme oxygenase	ho1	ho1			heme oxygenase
demethyl-phosphinothricin <i>N</i>-acetyltransferase	pat	pat			phosphinothricin <i>N</i>-acetyltransferase // demethyl-phosphinothricin <i>N</i>-acetyltransferase
2,6-dichlorohydroquinone dioxygenase	pcpA	pcpA			2,6-dichlorohydroquinone dioxygenase
deoxyhypusine synthase subunit	cgd2_3930	cgd2_3930			deoxyhypusine synthase
2-keto-3-deoxy-L-rhamnonate aldolase	yfaU	b2245	2358042	2358845	2-keto-3-deoxy-L-rhamnonate aldolase
acetyl-CoA:ethanol acetyltransferase	eat1	WICANDRAFT_27004			acetyl-CoA:ethanol acetyltransferase
asparagine synthetase	AS1	AS1			asparagine synthetase
methanol-5-hydroxybenzimidazolylcobamide Co-methyltransferase	mtaB	mtaB			methanol:5-hydroxybenzimidazolylcobamide Co-methyltransferase // methanol:MtaC protein Co-methyltransferase
puerarin 3-dehydrogenase	dgpA	dgpA			puerarin 3-dehydrogenase
phospholipid:diacylglycerol acyltransferase					phospholipid:diacylglycerol acyltransferase
&alpha;-dystroglycan &alpha;1,3-xylosyltransferase/&beta;1,4-glucuronosyltransferase 2	LARGE2	LARGE2	46632847	46640322	&alpha;-dystroglycan &alpha;1,3-xylosyltransferase/&beta;1,3-glucuronosyltransferase // &alpha;-dystroglycan &beta;1,3-glucuronosyltransferase // &alpha;-dystroglycan &alpha;1,3-xylosyltransferase
acetate kinase EutP	eutP	STM2469			acetate kinase
xylenol methylhydroxylase					3,5-xylenol methylhydroxylase // 2,5-xylenol methylhydroxylase // 3-methylphenol methylhydroxylase
monofunctional peptidoglycan glycosyltransferase	mgt	mgt			peptidoglycan glycosyltransferase // peptidoglycan glycosyltransferase
flavonol 7-<i>O</i>-glucosyltransferase / abscisic acid glucosyltransferase	UGT73B1	UGT73B1			UDP-glucose:quercetin 7-O-beta-D-glucosyltransferase // UDP-glucose:kaempferol 7-O-beta-D-glucosyltransferase // abscisic acid glucosyltransferase
flavonol synthase/flavanone 3-dioxygenase	FLS	FLS			quercetin synthase // dihydrokaempferol synthase // (3R)-naringenin 3-dioxygenase // (S)-naringenin 3-dioxygenase
antigen 85C	fbpC	Rv0129c	156576	157598	arabinogalactan:trehalose-trans-keto-mycolate mycolyltransferase // arabinogalactan:trehalose-cis-keto-mycolate mycolyltransferase // arabinogalactan:trehalose-trans-methoxy-mono-mycolate mycolyltransferase // arabinogalactan: trehalose-cis-methoxy-mycolate mycolyltransferase // arabinogalactan: trehalose-mono-mycolate mycolyltransferase // trehalose-trans-keto-mycolate:trehalose-trans-keto-mycolate 6-mycolyltransferase // trehalose-cis-keto-mono-mycolate:trehalose-cis-keto-mono-mycolate 6-mycolyltransferase // trehalose-trans-methoxy-mono-mycolate:trehalose-trans-methoxy-mono-mycolate 6-mycolyltransferase // trehalose-cis-methoxy-mycolate:trehalose-cis-methoxy-mycolate 6-mycolyltransferase // &alpha;,&alpha;-trehalose-6-mycolate:&alpha;,&alpha;-trehalose-6-mycolate 6-mycolyltransferase
(+)-pinoresinol hydroxylase cytochrome subunit // (+)-pinoresinol hydroxylase	pinA // pinB				(+)-pinoresinol hydroxylase
UDP-N-acetylenolpyruvylglucosamine reductase	murB	Rv0482			UDP-N-acetylenolpyruvylglucosamine reductase
GPI-<i>N</i>-acetylgalactosamine transferase PGAP4	PGAP4	PGAP4	101473170	101533686	GPI-<i>N</i>-acetylgalactosamine transferase PGAP4
&alpha;-D-xyloside xylohydrolase	yicI	b3656	3832219	3834537	xylan &alpha;-xylosidase // isoprimeverose &alpha;-xylosidase
phosphoglycerate kinase	pgk	pgk			phosphoglycerate kinase
D-xylulose-5-phosphate cytidylyltransferase	abp1	abp1			D-xylulose-5-phosphate cytidylyltransferase
apoptosis-inducing factor 1, mitochondrial	AIFM1	AIFM1	126109120	126145591	NADH:quinone reductase (non-electrogenic)
prochaetoglobosin I synthetase	CHGG_01239	CHGG_01239			prochaetoglobosin I synthetase // prochaetoglobosin I synthetase
5-chloromuconolactone dehalogenase	clcF	clcF			5-chloromuconolactone dehalogenase // 5-fluoromuconolactone dehalogenase
2-oxoglutarate synthase	oorD // oorC // oorB // oorA		620219	620560	2-oxoglutarate:acceptor oxidoreductase
free methionine-(<i>R</i>)-sulfoxide reductase	msrC	b1832	1915631	1916128	methionine-(<i>R</i>)-sulfoxide reductase
kynureninase	KYNU	KYNU	143506497	143799885	kynureninase // kynureninase
hydroxycinnamoyl-CoA:hydroxyanthranilate <i>N</i>-hydroxycinnamoyltransferase 4	HHT4	HHT4			caffeoyl-CoA:4-hydroxyanthranilate <i>N</i>-hydroxycinnamoyltransferase // 4-coumaroyl-CoA:4-hydroxyanthranilate <i>N</i>-hydroxycinnamoyltransferase
3-chlorobenzoate-<i>cis</i>-diol hydrogenase	cbaC	cbaC			1-carboxy-3-chloro-3-chlorobenzoate-<i>cis</i>-4,5-diol dehydrogenase
pederin &beta;-branch acetyltransferase	pedP	pedP			PedN:PedI acetyltransferase
2-octaprenylphenol 6-hydroxylase	ubiI	b2906	3051115	3052317	2-octaprenylphenol 6-hydroxylase
sulfite dehydrogenase (quinone)	soeA // soeB // soeC				sulfite dehydrogenase
sulfoquinovose isomerase	sqvD	6I21_08110			sulfoquinovose isomerase
dTDP-Rha:&alpha;-<small>D</small>-Gal-diphosphoundecaprenol &alpha;-1,3-rhamnosyltransferase	wbaN	STM2085	2165290	2166240	dTDP-Rha:&alpha;-<small>D</small>-Gal-diphosphoundecaprenol &alpha;-1,3-rhamnosyltransferase
acyl-CoA dehydrogenase 1	acd1	acd1			acyl-CoA dehydrogenase // acyl-CoA dehydrogenase // acyl-CoA dehydrogenase // acyl-CoA dehydrogenase // acyl-CoA dehydrogenase
decaprenyl diphosphate synthase	PDSS2 // PDSS1		107496625	107803613	decaprenyl diphosphate synthase
dimethylamine monooxygenase	Msil_3609 // Msil_3608 // Msil_3607				dimethylamine monooxygenase
6'-deoxychalcone 4'-glucosyltransferase					sulfuretin 4'-glucosyltransferase // butein 4'-glucosyltransferase
dihydrolipoyl transsuccinylase component of the 2-oxoglutarate dehydrogenase complex	KGD2	YDR148C	753675	755066	dihydrolipoyl transsuccinylase // dihydrolipoyl transsuccinylase
phosphomannomutase	PMM	SOVF_054170			phosphomannomutase
[corrinoid iron-sulfur protein]-dependent methionine synthase	mesB	DA01_01490			[corrinoid iron-sulfur protein]-dependent methionine synthase
membrane-bound lytic murein transglycosylase C	mltC	b2963	3104433	3105512	peptidoglycan lytic exotransglycosylase // peptidoglycan lytic endotransglycosylase
cysteine lyase	CL	LOC418544			cysteine lyase
long-chain acyl-CoA synthetase 4	ACSL4	ACSL4	106031340	106123395	arachidonate--CoA ligase
UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine 5,6-dehydratase	tunA	tunA			UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine 5,6-dehydratase
Kdo hydrolase	HP0579 // HP0580		610342	610896	Kdo hydrolase
<i>L</i>-homotyrosine 3-hydroxylase	EcdG	EcdG			<i>L</i>-homotyrosine 3-hydroxylase
dTDP-glucose 4,6-dehydratase	spcE	spcE			dTDP-glucose 4,6-dehydratase
cytochrome bc<sub>1</sub>	petA1 // petB1 // petC1				ubiquinol--cytochrome-c reductase
inositol-1,3,4,5,6-pentakisphosphate 2-kinase	IPPK	IPPK	87103242	87160323	inositol-1,3,4,5,6-pentakisphosphate 2-kinase
(2Z,6E)-farnesyl diphosphate mono-trans,poly-cis-dodecaprenyl diphosphate synthase	Tfu_0853	Tfu_0853			(2<i>Z</i>,6<i>E</i>)-farnesyl diphosphate mono-<i>trans</i>,poly-<i>cis</i>-dodecaprenyl diphosphate synthase
phosphomevalonate kinase	ERG8	ERG8	712315	713670	phosphomevalonate kinase
glutamine synthetase	GLN1;2	GLN1;2			glutamine synthetase
sirohydrochlorin ferrochelatase	sirB	sirB			sirohydrochlorin ferrochelatase
3&beta;-hydroxy-5&beta;-steroid dehydrogenase					3&beta;-hydroxy-5&beta;-steroid dehydrogenase
trichothecene 4-hydroxylase	Tri13	Tri13			calonectrin 4-hydroxylase
1-pyrroline-5-carboxylate dehydrogenase					1-pyrroline-5-carboxylate dehydrogenase
nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase	arsA // arsB				nicotinate D-ribonucleotide:5,6-dimethylbenzimidazole phospho-D-ribosyltransferase // nicotinate D-ribonucleotide:4-methylphenol phospho-D-ribosyltransferase // nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase
(<i>S</i>)-5-amino-3-oxohexanoate cleavage enzyme	kce	kce			(<i>S</i>)-5-amino-3-oxohexanoate cleavage enzyme
assimilatory nitrate reductase	AvinDRAFT_8464	AvinDRAFT_8464			nitrate reductase
chondro-6-sulfatase					chondro-6-sulfatase
class Ia ribonucleoside-diphosphate reductase	RNR2 // RNR4 // RNR1 // RNR3		392404	393603	ribonucleoside-diphosphate reductase
O-acetyl-L-homoserine sulfhydrylase monomer	oah1	oah1			<i>O</i>-acetyl-L-homoserine sulfhydrylase
heme oxygenase 1	HMOX1	HMOX1			heme oxygenase
ech hydrogenase	echF // echE // echD // echC // echB // echA				Ech hydrogenase
fumarase	fumC	Rv1098c	1226141	1227565	fumarase
mannosyl-oligosaccharide 1,3-1,6-&alpha;-mannosidase 2	MAN2A2	MAN2A2			mannosyl-oligosaccharide 1,3-1,6-&alpha;-mannosidase
marneral 23-monooxygenase	CYP71A16	AT5G42590.1			marnerol 23-monooxygenase // marneral 23-monooxygenase
phenylacetaldehyde dehydrogenase	pdh	ebA4954			phenylacetaldehyde dehydrogenase
5-aminolevulinate synthase 2	hemT	hemT			5-aminolevulinate synthase
3-hydroxy-5-methoxybiphenyl 4-hydroxylase	CYP736A107	CYP736A107			3-hydroxy-5-methoxybiphenyl 4-hydroxylase
3-ketosteroid 9&alpha;-hydroxylase reductase component	ORF17	ORF17			3-ketosteroid 9&alpha;-hydroxylase
(11<i>E</i>)-10-oxooctadec-11-enoate reductase	cla-er	lp_0062	61378	62031	(11<i>E</i>)-10-oxooctadec-11-enoate reductase
toyocamycin nitrile hydratase	toyJ // toyK // toyL				toyocamycin nitrile hydratase
HMG aldolase	galC	PP2514			4-hydroxy-4-methyl-2-oxoglutarate aldolase // 4-carboxy-4-hydroxy-2-oxoadipate aldolase
glycogenin 1	GYG1	GYG1			UDP-&alpha;-D-glucose:glycogenin &alpha;-D-glucosyltransferase // UDP-&alpha;-D-glucose:glucosyl-glycogenin &alpha;-D-glucosyltransferase
homospermidine synthase	HSS1	HSS1			homospermidine synthase
GDP-Fuc:&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1&rarr;2)-fucosyltransferase	wfbI	wfbI			GDP-Fuc:&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1&rarr;2)-fucosyltransferase
3-deoxy-D-<i>manno</i>-octulosonate 8-oxidase	kdnB	SO_2477			3-deoxy-D-<i>manno</i>-octulosonate 8-dehydrogenase
mannuronan C5 epimerase	algG	PA3545			mannuronan C5 epimerase
enoyl-[acyl-carrier-protein] reductase [NADH], chloroplastic	enrA1	enrA1			stearoyl-[acp] reductase // palmitoyl-[acp] reductase // myristoyl-[acp] reductase // dodeconyl-[acp] reductase // decanoyl-[acp] reductase // octanoyl-[acp] reductase // hexanoyl-[acp] reductase // crotonyl-[acp] reductase // 2,3,4-saturated-fatty-acid-[acp] reductase
3&beta;,22&alpha;-dihydroxysteroid 3-dehydrogenase	CYP90A1	CYP90A1	1702906	1706704	(22R,23R)-22,23-dihydroxycampesterol 3-dehydrogenase // 6-deoxoteasterone 3-dehydrogenase // (22<i>S</i>)-22-hydroxycampesterol 3-dehydrogenase // 6-deoxocathasterone 3-dehydrogenase
1-acylglycerol-3-phosphate <i>O</i>-acyltransferase YihG	yihG	b3862	4045670	4046602	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase // 1-acylglycerol-3-phosphate <i>O</i>-acyltransferase
L-fucose 1-dehydrogenase	fucA	EO124_RS00045			L-fucose 1-dehydrogenase
myo-inositol 1-phosphate monophosphatase / inositol-1(or 4)-monophosphatase	AT1G31190	AT1G31190	11144753	11146911	inositol-1(or 4)-monophosphatase // myo-inositol 1-phosphate monophosphatase // inositol-1(or 4)-monophosphatase
